name,isFunction,neverOptimize,alwaysOptimize,maybeDeopted,optimized,maglevved,turboFanned,interpreted,markedForOptimization,markedForConcurrentOptimization,optimizingConcurrently,isExecuting,topmostFrameIsTurboFanned,liteMode,markedForDeoptimization,baseline,topmostFrameIsInterpreted,topmostFrameIsBaseline
nqueenJS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nqueenJS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nqueenJS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nqueenJS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nqueenJS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nqueenJS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nqueenJS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nqueenJS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nqueenJS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nqueenJS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nqueenJS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nqueenJS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nqueenJS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nqueenJS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nqueenJS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nqueenJS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nqueenJS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nqueenJS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nqueenJS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nqueenJS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nqueenJS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nqueenJS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nqueenJS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
