asc_liftoff,asc_turbofan,js_ignition,js_sparkplug,js_turbofan
106,42,1604,133,118
103,39,1611,110,91
101,41,1595,91,86
103,39,1599,80,77
103,40,1594,78,78
103,39,1592,80,77
102,39,1594,81,77
103,39,1598,80,77
102,39,1594,77,77
105,39,1604,77,76
107,41,1584,82,81
102,40,1591,76,76
103,46,1593,79,77
101,38,1609,78,78
101,39,1608,79,77
101,39,1587,80,76
104,39,1578,80,76
103,39,1568,77,77
104,40,1570,99,76
110,39,1579,81,77
102,39,1572,80,75
102,39,1573,78,77
102,39,1571,82,76
101,39,1561,77,81
103,39,1577,93,77
101,45,1574,84,82
103,39,1572,92,76
101,40,1571,89,76
105,41,1573,78,76
107,40,1590,77,76
103,39,1582,77,80
104,38,1583,81,81
101,39,1561,76,77
102,39,1566,76,75
101,40,1560,81,76
102,38,1561,77,77
101,39,1567,76,77
101,39,1618,77,77
108,45,1693,76,76
102,38,1655,77,77
102,40,1667,89,76
103,38,1641,79,78
103,39,1636,76,91
103,39,1622,77,94
101,39,1625,77,78
102,39,1626,77,77
102,39,1622,76,78
101,39,1625,81,80
107,39,1608,75,79
108,39,1607,77,99
