time,iteration,name,isFunction,neverOptimize,alwaysOptimize,maybeDeopted,optimized,maglevved,turboFanned,interpreted,markedForOptimization,markedForConcurrentOptimization,optimizingConcurrently,isExecuting,topmostFrameIsTurboFanned,liteMode,markedForDeoptimization,baseline,topmostFrameIsInterpreted,topmostFrameIsBaseline
120,0,commonRandom,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
88,2,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
76,3,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
77,4,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
79,5,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99,6,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
81,7,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
79,8,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
79,9,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
78,10,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
77,11,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
103,12,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
106,13,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
85,14,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
87,15,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
78,16,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
77,17,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
78,18,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
76,19,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
79,20,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
80,21,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
77,22,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
77,23,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
