time,iteration,name,isFunction,neverOptimize,alwaysOptimize,maybeDeopted,optimized,turboFanned,interpreted,markedForOptimization,markedForConcurrentOptimization,optimizingConcurrently,isExecuting,topmostFrameIsTurboFanned,liteMode,markedForDeoptimization,baseline,topmostFrameIsInterpreted,topmostFrameIsBaseline
140,0,main,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1,main,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
116,2,main,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
154,3,main,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
85,4,main,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
81,5,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
82,6,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
67,7,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
76,8,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
82,9,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
65,10,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
85,11,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
99,12,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
58,13,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
66,14,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
66,15,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
131,16,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
76,17,main,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
91,18,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
57,19,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
104,20,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
55,21,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
62,22,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
63,23,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
149,24,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
78,25,main,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
63,26,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
91,27,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
57,28,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
90,29,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
60,30,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
102,31,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
57,32,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
59,33,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
109,34,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
56,35,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
57,36,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,37,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
117,38,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
121,39,main,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64,40,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
64,41,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
112,42,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
57,43,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
58,44,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
66,45,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
106,46,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
151,47,main,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
76,48,main,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
93,49,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
