time,iteration,name,isFunction,neverOptimize,alwaysOptimize,maybeDeopted,optimized,maglevved,turboFanned,interpreted,markedForOptimization,markedForConcurrentOptimization,optimizingConcurrently,isExecuting,topmostFrameIsTurboFanned,liteMode,markedForDeoptimization,baseline,topmostFrameIsInterpreted,topmostFrameIsBaseline
122,0,dot_product,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99,2,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
103,3,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
102,4,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
103,5,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
100,6,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
100,7,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
101,8,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
115,9,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
104,10,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
97,11,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
100,12,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
97,13,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
125,14,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
110,15,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
105,16,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
103,17,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99,18,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99,19,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
98,20,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
97,21,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
100,22,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
100,23,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
98,24,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99,25,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99,26,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
98,27,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99,28,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99,29,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99,30,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
100,31,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
100,32,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
101,33,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
97,34,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
98,35,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
100,36,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
101,37,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99,38,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99,39,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
101,40,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
105,41,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
101,42,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
101,43,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
100,44,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
97,45,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99,46,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
98,47,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
112,48,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
102,49,dot_product,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
122,0,mat_vec_mul,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99,2,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
103,3,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
102,4,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
103,5,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
100,6,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
100,7,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
101,8,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
115,9,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
104,10,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
97,11,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
100,12,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
97,13,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
125,14,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
110,15,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
105,16,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
103,17,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99,18,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99,19,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
98,20,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
97,21,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
100,22,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
100,23,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
98,24,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99,25,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99,26,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
98,27,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99,28,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99,29,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99,30,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
100,31,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
100,32,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
101,33,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
97,34,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
98,35,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
100,36,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
101,37,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99,38,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99,39,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
101,40,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
105,41,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
101,42,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
101,43,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
100,44,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
97,45,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99,46,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
98,47,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
112,48,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
102,49,mat_vec_mul,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
122,0,init_ones_dev,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,init_ones_dev,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
99,2,init_ones_dev,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103,3,init_ones_dev,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
102,4,init_ones_dev,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103,5,init_ones_dev,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100,6,init_ones_dev,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100,7,init_ones_dev,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101,8,init_ones_dev,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115,9,init_ones_dev,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
104,10,init_ones_dev,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,11,init_ones_dev,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100,12,init_ones_dev,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
97,13,init_ones_dev,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
125,14,init_ones_dev,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
110,15,init_ones_dev,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
105,16,init_ones_dev,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
103,17,init_ones_dev,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
99,18,init_ones_dev,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
99,19,init_ones_dev,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
98,20,init_ones_dev,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
97,21,init_ones_dev,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100,22,init_ones_dev,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100,23,init_ones_dev,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
98,24,init_ones_dev,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
99,25,init_ones_dev,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
99,26,init_ones_dev,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
98,27,init_ones_dev,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
99,28,init_ones_dev,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
