asc_liftoff,asc_turbofan,js_ignition,js_sparkplug,js_turbofan
114,123,1555,128,130
110,122,1557,130,130
109,121,1555,132,132
110,128,1556,130,128
110,123,1561,127,132
109,125,1562,133,128
108,124,1557,130,130
109,123,1554,128,131
109,125,1560,129,128
111,124,1545,128,127
112,123,1558,128,128
108,125,1556,128,132
110,123,1554,127,127
111,124,1551,134,128
110,123,1554,129,128
108,122,1559,127,130
109,122,1553,127,127
109,120,1549,127,128
109,122,1584,128,127
110,127,1655,126,131
111,127,1650,130,127
108,123,1629,128,127
111,123,1621,128,128
111,123,1623,128,127
108,125,1621,127,126
109,122,1624,127,127
109,122,1626,130,129
108,125,1619,128,130
109,123,1619,132,131
109,121,1621,131,127
109,121,1621,129,127
111,120,1619,127,127
110,121,1620,126,127
109,122,1622,126,127
108,121,1624,129,128
108,124,1625,128,132
108,124,1619,130,128
109,122,1619,127,127
109,120,1623,127,128
108,121,1625,128,128
109,121,1621,131,127
111,120,1620,127,128
121,122,1621,128,127
109,124,1625,127,133
109,121,1621,130,128
108,123,1620,128,126
109,122,1623,127,130
107,120,1622,127,127
109,121,1622,130,127
109,121,1624,130,128
