time,iteration,name,isFunction,neverOptimize,alwaysOptimize,maybeDeopted,optimized,maglevved,turboFanned,interpreted,markedForOptimization,markedForConcurrentOptimization,optimizingConcurrently,isExecuting,topmostFrameIsTurboFanned,liteMode,markedForDeoptimization,baseline,topmostFrameIsInterpreted,topmostFrameIsBaseline
2397,0,commonRandom,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2150,1,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2132,2,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2129,3,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2107,4,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2161,5,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2162,6,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2255,7,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2303,8,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2130,9,commonRandom,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2397,0,commonRandomJS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2150,1,commonRandomJS,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2132,2,commonRandomJS,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2129,3,commonRandomJS,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2107,4,commonRandomJS,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2161,5,commonRandomJS,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2162,6,commonRandomJS,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2255,7,commonRandomJS,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2303,8,commonRandomJS,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2130,9,commonRandomJS,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2397,0,complexPolar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2150,1,complexPolar,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2132,2,complexPolar,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2129,3,complexPolar,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2107,4,complexPolar,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2161,5,complexPolar,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2162,6,complexPolar,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2255,7,complexPolar,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2303,8,complexPolar,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2130,9,complexPolar,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2397,0,fftSimple,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2150,1,fftSimple,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2132,2,fftSimple,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2129,3,fftSimple,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2107,4,fftSimple,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2161,5,fftSimple,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2162,6,fftSimple,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2255,7,fftSimple,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2303,8,fftSimple,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2130,9,fftSimple,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2397,0,fft2D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2150,1,fft2D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2132,2,fft2D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2129,3,fft2D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2107,4,fft2D,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2161,5,fft2D,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2162,6,fft2D,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2255,7,fft2D,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2303,8,fft2D,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2130,9,fft2D,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2397,0,randomComplexArray,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2150,1,randomComplexArray,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2132,2,randomComplexArray,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2129,3,randomComplexArray,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2107,4,randomComplexArray,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2161,5,randomComplexArray,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2162,6,randomComplexArray,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2255,7,randomComplexArray,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2303,8,randomComplexArray,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2130,9,randomComplexArray,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2397,0,randomComplexMatrix,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2150,1,randomComplexMatrix,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2132,2,randomComplexMatrix,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2129,3,randomComplexMatrix,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2107,4,randomComplexMatrix,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2161,5,randomComplexMatrix,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2162,6,randomComplexMatrix,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2255,7,randomComplexMatrix,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2303,8,randomComplexMatrix,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2130,9,randomComplexMatrix,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2397,0,main,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2150,1,main,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2132,2,main,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2129,3,main,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2107,4,main,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2161,5,main,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2162,6,main,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2255,7,main,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2303,8,main,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2130,9,main,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
