asc_liftoff,asc_turbofan,js_ignition,js_sparkplug,js_turbofan
7812,3263,73215,7037,7026
7773,3243,75826,7088,6924
7764,3221,75847,7171,6950
7760,3215,75440,7131,6948
7772,3219,75441,6966,6949
7780,3214,75501,6931,6945
7779,3251,75501,6957,6951
7769,3231,75469,6947,6964
7791,3223,75449,6931,6943
7774,3248,75473,6926,6940
7777,3219,75448,6931,6958
7776,3232,75451,6930,6945
7791,3225,75428,6945,6948
7775,3215,75496,6918,6966
7775,3230,75494,6936,6941
7785,3237,75504,6937,6936
7786,3221,75648,6981,6938
7763,3217,75566,6948,6938
7793,3233,75563,6932,6953
7769,3220,75547,6932,6945
