time,iteration,name,isFunction,neverOptimize,alwaysOptimize,maybeDeopted,optimized,turboFanned,interpreted,markedForOptimization,markedForConcurrentOptimization,optimizingConcurrently,isExecuting,topmostFrameIsTurboFanned,liteMode,markedForDeoptimization,baseline,topmostFrameIsInterpreted,topmostFrameIsBaseline
7192,0,writeImage,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7108,1,writeImage,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7341,2,writeImage,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7242,3,writeImage,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7129,4,writeImage,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7133,5,writeImage,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7134,6,writeImage,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7132,7,writeImage,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7130,8,writeImage,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7117,9,writeImage,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7200,10,writeImage,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7152,11,writeImage,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7192,12,writeImage,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7223,13,writeImage,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7207,14,writeImage,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7223,15,writeImage,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7211,16,writeImage,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7169,17,writeImage,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7148,18,writeImage,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7126,19,writeImage,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7192,0,calculateSum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7108,1,calculateSum,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7341,2,calculateSum,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
